prob,val
0.2,-2.50999376065203
0.2,-2.47729122999382
0.2,-2.50194953478335
0.2,-2.4966055248966
0.2,-2.48291363340994
0.2,-2.48833058347872
0.2,-2.45153939863932
0.2,-2.50117811480599
0.2,-2.46807890710948
0.2,-2.5188107845074
0.2,-2.52808832746081
0.2,-2.50311337960557
0.2,-2.47500402545116
0.2,-2.48673279060975
0.2,-2.52682426574991
0.2,-2.5002149285352
0.2,-2.51184958466248
0.2,-2.45599587404578
0.25,-2.47415420682715
0.25,-2.51435619594263
0.25,-2.44895341203464
0.25,-2.47356674309345
0.25,-2.49291659317911
0.25,-2.47744475543144
0.25,-2.441108482518
0.25,-2.4943826231356
0.25,-2.4606686153709
0.25,-2.48383975763498
0.25,-2.53978832108176
0.25,-2.43527243981381
0.25,-2.47256074576253
0.25,-2.57847158006552
0.25,-2.53044300899336
0.25,-2.53194153157529
0.25,-2.47313556719424
0.25,-2.43320828401968
0.25,-2.54275928730225
0.25,-2.54490091066095
0.25,-2.41372853169914
0.25,-2.48826177569528
0.25,-2.49246039257164
0.25,-2.46572760256481
0.25,-2.51116089674609
0.25,-2.51916010463648
0.25,-2.46099336545789
0.25,-2.47726059169148
0.25,-2.53183532002665
0.25,-2.41007321354459
0.25,-2.5372455616174
0.25,-2.52302890267223
0.25,-2.45655365892948
0.25,-2.48960893663837
0.25,-2.505630791041
0.25,-2.4402500252857
0.25,-2.48251960798088
0.25,-2.50854676979551
0.25,-2.50453427743763
0.25,-2.50277927273665
0.25,-2.49694926359253
0.25,-2.43140744162888
0.25,-2.52942444889929
0.25,-2.47476571528384
0.25,-2.5007897935099
0.25,-2.52118872233005
0.25,-2.46886304067903
0.25,-2.48463769264154
0.25,-2.52154111674367
0.25,-2.47314949568838
0.25,-2.48642042778121
0.25,-2.45269346223919
0.25,-2.51815190644595
0.25,-2.51686953965452
0.25,-2.48024257650791
0.25,-2.4679038123452
0.25,-2.47922560037159
0.25,-2.45427443183136
0.25,-2.5342617748637
0.25,-2.45590301357467
0.25,-2.54294201106799
0.25,-2.48769163012583
0.25,-2.44611936088679
0.25,-2.53086796708264
0.25,-2.51213590426822
0.25,-2.48105392437645
0.25,-2.52566772890899
0.25,-2.50588165157706
0.25,-2.4186692452747
0.25,-2.51416826406971
0.25,-2.4617966240655
0.25,-2.52238962714502
0.3,-2.41365598040597
0.3,-2.48772167594698
0.3,-2.45899489060107
0.3,-2.42095518460029
0.3,-2.48484089113624
0.3,-2.5357849575314
0.3,-2.5013099966057
0.3,-2.49779057005613
0.3,-2.50226416497235
0.3,-2.53583415715446
0.3,-2.54322950277587
0.3,-2.47843028879007
0.3,-2.48051238258519
0.3,-2.47062020861664
0.3,-2.49320172089549
0.3,-2.50354180223638
0.3,-2.4431494439482
0.3,-2.49012376734145
0.3,-2.48148754915726
0.3,-2.52481411113326
0.3,-2.4524695184141
0.3,-2.4504893868894
0.3,-2.46192789914645
0.3,-2.53081719232798
0.3,-2.46856792500287
0.3,-2.46313396997186
0.3,-2.53162785893483
0.3,-2.46057292544303
